fileNo,County,Year,Totalhumanexposures,AnimalExposures,InformationCalls,Age_Under12mo,Age_1yr,Age_2yr,Age_3yr,Age_4yr,Age_5yr,Age_6-12yr,Age_13-19yr,Age_20-59yr,Age_Over60yr,Age_Adult,Age_Unknown,Age_UnknownAdult,Age_UnknownChild,Intentional,Intentional_Abuse,Intentional_Misuse,Intentional_SuspectedSuicide,Intentional_Unknown,ManageSite_HealthcareFacility,ManageSite_OnSite.NonHealthcareFacility,ManageSite_Other.Unknown,ManageSite_RefusedReferral,MedOutcome_Death,MedOutcome_MajorEffect,MedOutcome_MinorEffect,MedOutcome_ModerateEffect,MedOutcome_NoEffect,MedOutcome_Other.Unknown,OtherReason,Other_AdverseReaction.Drug,Other_AdverseReaction.Food,Other_AdverseReaction.Other,Other_Contamination.Tampering,Other_Malicious,Other_Other.Unknown,Other_Withdrawal,Unintentional,Unintentional_Bite.Sting,Unintentional_Environmental,Unintentional_FoodPoisoning,Unintentional_General,Unintentional_Misuse,Unintentional_Occupational,Unintentional_Other.Unknown,Unintentional_TherapeuticError
78,"Caroline County, MD",2009,315,15,160,17,85,67,24,14,7,19,12,NA,NA,70,0,NA,NA,14,4,1,9,NA,23,283,5,4,0,0,189,4,114,8,5,3,NA,2,NA,0,NA,NA,296,4,2,2,209,31,3,NA,45
79,"Carroll County, MD",2009,1747,95,706,72,283,295,151,76,39,131,120,NA,NA,575,5,NA,NA,256,41,23,182,10,346,1357,25,19,3,10,1032,81,573,48,60,31,NA,10,7,3,9,NA,1431,13,29,12,910,187,16,2,262
80,"Cecil County, MD",2009,1017,49,466,45,127,178,70,39,25,59,98,NA,NA,374,2,NA,NA,263,42,45,163,13,360,624,19,14,1,9,616,60,290,41,30,12,NA,5,3,3,7,NA,724,8,6,7,481,84,18,NA,120
81,"Charles County, MD",2009,1083,62,460,61,178,199,80,30,18,69,109,NA,NA,334,5,NA,NA,184,28,24,124,8,270,788,16,9,3,6,649,39,350,36,31,20,NA,4,2,3,2,NA,868,15,11,7,567,108,19,NA,141
82,"Dorchester County, MD",2009,299,13,122,25,53,46,17,10,5,18,13,NA,NA,112,NA,NA,NA,68,6,8,51,3,87,203,8,1,0,1,183,13,98,4,10,4,NA,3,NA,2,1,NA,221,1,1,0,154,26,5,1,33
83,"Frederick County, MD",2009,1993,161,728,96,348,354,203,89,50,142,145,NA,NA,554,12,NA,NA,261,42,40,166,13,359,1585,24,25,3,11,1176,58,685,60,65,33,NA,14,8,6,4,NA,1667,16,17,18,1143,183,19,2,269
84,"Garrett County, MD",2009,281,8,246,12,33,47,17,7,6,27,34,NA,NA,97,1,NA,NA,62,12,8,39,3,81,193,1,6,0,0,169,15,84,13,12,4,NA,3,4,NA,1,NA,207,2,1,5,129,25,4,NA,41
85,"Harford County, MD",2009,2507,118,1185,101,457,417,169,91,39,163,201,NA,NA,866,3,NA,NA,513,79,76,341,17,735,1730,23,19,3,14,1453,159,793,85,78,39,NA,13,6,5,15,NA,1916,34,24,17,1276,215,25,NA,325
86,"Howard County, MD",2009,1862,132,680,101,297,267,140,64,50,174,163,NA,NA,606,NA,NA,NA,260,25,43,187,5,361,1441,37,23,1,11,1075,66,652,57,64,26,NA,14,4,10,10,NA,1538,31,28,18,939,211,9,NA,302
87,"Kent County, MD",2009,211,4,83,11,34,31,14,6,5,14,13,NA,NA,82,1,NA,NA,38,2,3,33,NA,70,138,0,3,0,0,123,14,69,5,5,1,NA,1,0,1,1,1,168,1,0,1,103,24,9,NA,30
88,"Montgomery County, MD",2009,525,62,390,38,95,94,37,17,11,39,34,NA,NA,158,2,NA,NA,47,5,13,28,1,58,452,9,6,0,1,332,10,167,15,26,9,NA,8,6,1,2,NA,452,1,11,5,302,61,2,1,69
89,"Prince Georges County, MD",2009,559,40,227,33,103,90,37,26,20,35,32,NA,NA,183,NA,NA,NA,55,9,12,29,5,58,485,4,12,0,1,319,13,200,26,17,7,NA,1,4,5,NA,NA,487,7,11,5,301,76,7,NA,80
90,"Queen Anne’s County, MD",2009,371,24,272,22,81,79,32,16,8,28,15,NA,NA,94,NA,NA,NA,25,4,8,8,5,29,331,10,1,0,2,233,5,125,6,11,4,NA,4,2,NA,1,NA,335,8,3,2,240,35,3,NA,44
91,"Somerset County, MD",2009,130,11,183,6,31,25,6,2,1,9,9,NA,NA,41,NA,NA,NA,12,2,3,5,2,27,100,2,1,0,2,78,4,41,5,6,5,NA,1,NA,NA,NA,NA,112,1,NA,NA,77,17,NA,NA,17
92,"St. Mary’s County, MD",2009,1076,54,591,51,155,209,95,41,20,66,75,NA,NA,360,4,NA,NA,217,21,42,146,8,326,732,10,8,1,7,629,52,353,34,38,20,NA,7,3,2,6,NA,821,35,5,10,546,81,7,NA,137
93,"Talbot County, MD",2009,405,20,144,13,42,46,33,18,7,32,38,NA,NA,176,NA,NA,NA,112,16,14,80,2,191,207,1,6,2,6,237,34,107,19,21,3,NA,4,10,1,3,NA,272,3,5,1,166,38,9,1,49
94,"Washington County, MD",2009,1241,60,590,58,189,227,112,43,36,81,84,NA,NA,407,4,NA,NA,181,21,34,121,5,261,938,31,11,0,6,699,61,440,35,34,19,NA,1,1,4,9,NA,1026,13,18,8,694,111,10,2,170
95,"Wicomico County, MD",2009,888,61,446,49,160,131,51,44,20,59,63,NA,NA,288,23,NA,NA,148,17,25,101,5,279,586,12,11,1,4,525,38,283,37,31,16,NA,5,4,3,3,NA,709,11,7,7,446,88,20,NA,130
